SRH,M. Shami,BOWL,9
SRH,H. Patel,BOWL,7
SRH,R. Chahar,BOWL,6
SRH,A. Zampa,BOWL,7
SRH,S. Singh,BOWL,4
SRH,E. Malinga,BOWL,6
SRH,J. Unadkat,BOWL,5
SRH,Z. Ansari,BOWL,4
PBKS,S. Iyer,BAT,7
PBKS,H. Pannu,BAT,4
PBKS,N. Wadhera,BAT,5
PBKS,P. Avinash,BAT,4
PBKS,P. Arya,BAT,4
PBKS,S. Singh,BAT,5
PBKS,M. Khan,BAT,4
PBKS,J. Inglis,WK,7
PBKS,P. Singh,WK,5
PBKS,V. Vinod,WK,4
PBKS,M. Stoinis,AR,8
PBKS,A. Omarzai,AR,6
PBKS,M. Owen,AR,4
PBKS,S. Shedge,AR,4
PBKS,A. Hardie,AR,6
PBKS,A. Singh,BOWL,8
PBKS,H. Brar,BOWL,6
PBKS,Y. Chahal,BOWL,9
PBKS,M. Jansen,BOWL,7
PBKS,K. Jamieson,BOWL,6
PBKS,L. Ferguson,BOWL,7
PBKS,K. Sen,BOWL,5
PBKS,X. Bartlett,BOWL,5
PBKS,Y. Thakur,BOWL,4
PBKS,P. Dubey,BOWL,4
RR,S. Samson,WK,9
RR,D. Jurel,WK,6
RR,K. Rathore,WK,4
RR,L. Pretorius,BAT,5
RR,S. Hetmyer,BAT,8
RR,Y. Jaiswal,BAT,9
RR,S. Dubey,BAT,4
RR,V. Suryavanshi,BAT,4
RR,R. Parag,AR,7
RR,Y. Singh,AR,4
RR,W. Hasaranga,BOWL,9
RR,M. Theekshana,BOWL,7
RR,J. Archer,BOWL,8
RR,T. Deshpande,BOWL,6
RR,A. Madhwal,BOWL,6
RR,K. Kartikeya,BOWL,5
RR,F. Farooqi,BOWL,6
RR,K. Maphaka,BOWL,4
RR,A. Sharma,BOWL,4
RR,N. Burger,BOWL,5
